raw_comp_writers_text,CLEAN_TEXT,split_phrases
David Line/Kevin Hendrick/Charles Macleod/Caroline Banks,David Line/Kevin Hendrick/Charles Macleod/Caroline Banks,"['David Line', 'Kevin Hendrick', 'Charles Macleod', 'Caroline Banks']"
Nestor Daniel Hoyer,Nestor Daniel Hoyer,['Nestor Daniel Hoyer']
Federico Leonel Lassalle,Federico Leonel Lassalle,['Federico Leonel Lassalle']
Derrick Dixon,Derrick Dixon,['Derrick Dixon']
Jürgen Engler/Ralf Dörper/Lee Altus,Jürgen Engler/Ralf Dörper/Lee Altus,"['Jürgen Engler', 'Ralf Dörper', 'Lee Altus']"
Hayden Buck Jones,Hayden Buck Jones,['Hayden Buck Jones']
Albéric Magnard,Albéric Magnard,['Albéric Magnard']
CA ASSATOURIAN ANDREW ROUBIK/CA MCAFEE ERIC D/CA ORROSQUIETA ERICK/PA DEORRO & DIRTY AUDIO FEAT. I-EZ,,"['CA ASSATOURIAN ANDREW ROUBIK', 'CA MCAFEE ERIC D', 'CA ORROSQUIETA ERICK', 'PA DEORRO', 'DIRTY AUDIO FEAT. I-EZ']"
snny,snny,['snny']
Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,"['Michael Hansen', 'James Lewis', 'Felix Rutherford', 'Robbie Jay']"
WunTayk Timmy,WunTayk Timmy,['WunTayk Timmy']
Joni Mitchell,Joni Mitchell,['Joni Mitchell']
Д.Логинов/Multiza Distribution/Ляля Размахова,,"['Д.Логинов', 'Multiza Distribution', 'Ляля Размахова']"
cesar pozos & alejandro coronado,cesar pozos/alejandro coronado,"['cesar pozos', 'alejandro coronado']"
Bruce E. Johnson,Bruce E. Johnson,['Bruce E. Johnson']
Italo Montemezzi/Sem Benelli,,"['Italo Montemezzi', 'Sem Benelli']"
Patrick Saint-Eloi,Patrick Saint-Eloi,['Patrick Saint-Eloi']
Pete Shelley/Copyright Control,Pete Shelley,"['Pete Shelley', 'Copyright Control']"
Hector Berlioz,Hector Berlioz,['Hector Berlioz']
Bruce Fingers/Joshua Atchley/Billie Ray Fingers,Bruce Fingers/Joshua Atchley/Billie Ray Fingers,"['Bruce Fingers', 'Joshua Atchley', 'Billie Ray Fingers']"
"<Unknown>/Conley, Ronald Kirstein",Conley/Ronald/Kirstein,"['<Unknown>', 'Conley', 'Ronald Kirstein']"
Hiyakiporinekisesanamope Choir,Hiyakiporinekisesanamope Choir,['Hiyakiporinekisesanamope Choir']
Joe Zawinul,Joe Zawinul,['Joe Zawinul']
Rony Ordóñez López & juan luis tzoy chic,Rony Ordóñez López/juan luis tzoy chic,"['Rony Ordóñez López', 'juan luis tzoy chic']"
André/Felipe,André/Felipe,"['André', 'Felipe']"
Jon Brookes/Tim Burgess/Martin Blunt/Mark Collins/Rob Collins,,"['Jon Brookes', 'Tim Burgess', 'Martin Blunt', 'Mark Collins', 'Rob Collins']"
Adem Ciwan,Adem Ciwan,['Adem Ciwan']
Hadaiyah Bey/Copyright Control,Hadaiyah Bey,"['Hadaiyah Bey', 'Copyright Control']"
Victor Spinelli,Victor Spinelli,['Victor Spinelli']
Milos Grubor/Luka Mišnić/Pavle Jankovic/Bogdan Stojiljkovic/Bigru i Paja Kratak Label,Milos/Grubor/Luka/Mišnić/Pavle/Jankovic/Bogdan/Stojiljkovic/Bigru/i/Paja/Kratak,"['Milos Grubor', 'Luka Mišnić', 'Pavle Jankovic', 'Bogdan Stojiljkovic', 'Bigru i Paja Kratak Label']"
R. Stewart/D. Ellington,R. Stewart/D. Ellington,"['R. Stewart', 'D. Ellington']"
Elisa Lindström,Elisa Lindström,['Elisa Lindström']
Roderick Tate/Kenneth Daniels/Shekinah Daniels/Big Headed Bros LLC/GoodVibes Productions,Roderick Tate/Kenneth Daniels/Shekinah Daniels/GoodVibes,"['Roderick Tate', 'Kenneth Daniels', 'Shekinah Daniels', 'Big Headed Bros LLC', 'GoodVibes Productions']"
Nguyễn Nhất Huy,,['Nguyễn Nhất Huy']
Kris Barras,Kris Barras,['Kris Barras']
Giuseppe Verdi/Francesco Maria Piave,Giuseppe Verdi/Francesco Maria Piave,"['Giuseppe Verdi', 'Francesco Maria Piave']"
Shankar Prajapati,Shankar Prajapati,['Shankar Prajapati']
Tim Pagnotta,Tim Pagnotta,['Tim Pagnotta']
luiz claudio costa santanna,luiz claudio costa santanna,['luiz claudio costa santanna']
Malik Grimes,Malik Grimes,['Malik Grimes']
Pi’erre Bourne,Pi’erre Bourne,['Pi’erre Bourne']
Aaron Albert Srdoc,Aaron Albert Srdoc,['Aaron Albert Srdoc']
Reinhard Mey,Reinhard Mey,['Reinhard Mey']
Herbert Stothart/Harold Arlen,Herbert Stothart/Harold Arlen,"['Herbert Stothart', 'Harold Arlen']"
Alemany/Alexander de Jesus Alcalá,Alemany/Alexander de Jesus Alcalá,"['Alemany', 'Alexander de Jesus Alcalá']"
Gonzalo Hermosa,Gonzalo Hermosa,['Gonzalo Hermosa']
Olaf Dubber/Copyright Control/Alexander Grosskord,Olaf Dubber/Alexander Grosskord,"['Olaf Dubber', 'Copyright Control', 'Alexander Grosskord']"
Kisan Thapa/Thaneshwor Gautam,Kisan Thapa/Thaneshwor Gautam,"['Kisan Thapa', 'Thaneshwor Gautam']"
ALFRED LLOYD CAMPBELL,ALFRED LLOYD CAMPBELL,['ALFRED LLOYD CAMPBELL']
Jemel Yarbrough & William Pope,,"['Jemel Yarbrough', 'William Pope']"
"Trần Trung Hiếu, Nguyễn Trần Tấn Huy, Nguyễn Phước Thành, Đặng Quang Duy & Lê Trường An",,"['Trần Trung Hiếu', 'Nguyễn Trần Tấn Huy', 'Nguyễn Phước Thành', 'Đặng Quang Duy', 'Lê Trường An']"
G.F. Daumer/Howard H. Scott/Georg Friedrich Daumer,,"['G.F. Daumer', 'Howard H. Scott', 'Georg Friedrich Daumer']"
A KING JESSE/AR HILL ROBERT/AR KING JESSE/AR PAERSSINEN TATU JOHANNES/C HILL ROBERT/PA ROBBIE HILL & THE BLUE 62S,KING/JESSE/AR/HILL/ROBERT/AR/KING/JESSE/AR/PAERSSINEN/TATU/JOHANNES/C/HILL/ROBERT/P/ROBBIE/HILL/&/THE/BLUE/62S,"['A KING JESSE', 'AR HILL ROBERT', 'AR KING JESSE', 'AR PAERSSINEN TATU JOHANNES', 'C HILL ROBERT', 'PA ROBBIE HILL', 'THE BLUE 62S']"
Simon Maguire,Simon Maguire,['Simon Maguire']
Björn Ulvaeus/Benny Andersson/Agnetha Fältskog/Anni-Frid Lyngstad,Björn Ulvaeus/Benny Andersson/Agnetha Fältskog/Anni-Frid Lyngstad,"['Björn Ulvaeus', 'Benny Andersson', 'Agnetha Fältskog', 'Anni-Frid Lyngstad']"
DANGUR ITAY,,['DANGUR ITAY']
方文山/周杰倫,,"['方文山', '周杰倫']"
SAVANA SANTOS,SAVANA SANTOS,['SAVANA SANTOS']
Masafumi Takada,Masafumi Takada,['Masafumi Takada']
Alan Read,Alan Read,['Alan Read']
Amanda Mackinnon Palmer,Amanda Mackinnon Palmer,['Amanda Mackinnon Palmer']
"Asian Doll,Big Mali",Asian Doll/Big Mali,"['Asian Doll', 'Big Mali']"
Dennis Bonam/White Mantis Publishing/Edition Lemongrass Records,Dennis Bonam,"['Dennis Bonam', 'White Mantis Publishing', 'Edition Lemongrass Records']"
Dorcas Cochran and Lenny Sanders/Unichapell Music Inc (BMI) (c/o Warner Chappell Music Inc),Dorcas Cochran/Lenny Sanders/c/o,"['Dorcas Cochran and Lenny Sanders', 'Unichapell Music Inc', 'BMI', 'c', 'o Warner Chappell Music Inc']"
Kaustubh Ghotikar & Traditional,Kaustubh Ghotikar/Traditional,"['Kaustubh Ghotikar', 'Traditional']"
"<Unknown>/Snider, Chanel Orion",Snider/Chanel Orion,"['<Unknown>', 'Snider', 'Chanel Orion']"
Đỗ Nhuận,,['Đỗ Nhuận']
Count Lyle,Count Lyle,['Count Lyle']
Dario Marianelli,Dario Marianelli,['Dario Marianelli']
Issa Khalaf/Alaa Alhaneen/Copyright Control,,"['Issa Khalaf', 'Alaa Alhaneen', 'Copyright Control']"
BK/Bas Klein/Dylisa Sedoc,BK/Bas Klein/Dylisa Sedoc,"['BK', 'Bas Klein', 'Dylisa Sedoc']"
Erik Norström/Bo Blide,Erik Norström/Bo Blide,"['Erik Norström', 'Bo Blide']"
"Rowdy Rebel,Lil Durk",Rowdy Rebel/Lil Durk,"['Rowdy Rebel', 'Lil Durk']"
Dan Williams & William Mamakeesic,Dan Williams/William Mamakeesic,"['Dan Williams', 'William Mamakeesic']"
Matrioshka Brain/Aleph Oratorio/Cain Geist,Matrioshka Brain/Aleph Oratorio/Cain Geist,"['Matrioshka Brain', 'Aleph Oratorio', 'Cain Geist']"
Juan Esteban De Los Rios/Juan Diego Medina/Luis Alfonso Rendon/Adán Rendon,Juan Esteban De Los Rios/Juan Diego Medina/Luis Alfonso Rendon/Adán Rendon,"['Juan Esteban De Los Rios', 'Juan Diego Medina', 'Luis Alfonso Rendon', 'Adán Rendon']"
"Fijimacintosh,Kristijan Bozik",Fijimacintosh/Kristijan Bozik,"['Fijimacintosh', 'Kristijan Bozik']"
Thomas Bangalter/Guy-Manuel De Homem-Christo,Thomas Bangalter/Guy-Manuel De Homem-Christo,"['Thomas Bangalter', 'Guy-Manuel De Homem-Christo']"
Nikolai Kapustin,Nikolai Kapustin,['Nikolai Kapustin']
Rossy Castro,Rossy Castro,['Rossy Castro']
"<Unknown>/Armitige, Darrell",Armitige/Darrell,"['<Unknown>', 'Armitige', 'Darrell']"
"<Unknown>/Davis, Torrey Devon",Davis,"['<Unknown>', 'Davis', 'Torrey Devon']"
sleepsleepsleep/Antonio Paule Harzer,sleepsleepsleep/Antonio Paule Harzer,"['sleepsleepsleep', 'Antonio Paule Harzer']"
Steve Azar/Rafe VanHoy/Rafe Van Hoy,Steve Azar/Rafe VanHoy,"['Steve Azar', 'Rafe VanHoy', 'Rafe Van Hoy']"
Squirt Kelly,Squirt Kelly,['Squirt Kelly']
Audience/Keith Gemmell/Anthony Connor,Audience/Keith Gemmell/Anthony Connor,"['Audience', 'Keith Gemmell', 'Anthony Connor']"
Melih Reyhan,Melih Reyhan,['Melih Reyhan']
Vesa Ranta/Sami Lopakka/Taneli Jarva/Miika Tenkula/Not Documented,Vesa Ranta/Sami Lopakka/Taneli Jarva/Miika Tenkula,"['Vesa Ranta', 'Sami Lopakka', 'Taneli Jarva', 'Miika Tenkula', 'Not Documented']"
Idan Amedi,Idan Amedi,['Idan Amedi']
Jalique Moore,Jalique Moore,['Jalique Moore']
Shulman,Shulman,['Shulman']
Nathan Whitehead,Nathan Whitehead,['Nathan Whitehead']
The Merkins,The Merkins,['The Merkins']
Stephane Grieder/Mattias Rosen,Stephane Grieder/Mattias Rosen,"['Stephane Grieder', 'Mattias Rosen']"
Aunty Donna,Aunty Donna,['Aunty Donna']
Mc PP da VS,Mc PP da VS,['Mc PP da VS']
"<Unknown>/martinez, fray",martinez/fray,"['<Unknown>', 'martinez', 'fray']"
E. Harris,E. Harris,['E. Harris']
Jose Rodriguez,Jose Rodriguez,['Jose Rodriguez']
Chuy Nuñez,Chuy Nuñez,['Chuy Nuñez']
Max Cameron Concors,Max Cameron Concors,['Max Cameron Concors']
John “Virgo” Garrett III/Benito Benites/Antoinette Colandero,John “Virgo” Garrett III/Benito Benites/Antoinette Colandero,"['John “Virgo” Garrett III', 'Benito Benites', 'Antoinette Colandero']"
Louie Ocampo & Freddie Saturno,Louie Ocampo/Freddie Saturno,"['Louie Ocampo', 'Freddie Saturno']"
سلطان بن مريع,,['سلطان بن مريع']
João Só/Ricardo Ferreira,João Só/Ricardo Ferreira,"['João Só', 'Ricardo Ferreira']"
Noa/גיל דור,Noa,"['Noa', 'גיל דור']"
Jessica Daniel Abbott,,['Jessica Daniel Abbott']
Ludwig van Beethoven,Ludwig van Beethoven,['Ludwig van Beethoven']
Mac McCaughan,,['Mac McCaughan']
JOHN T./WILLIAMS,JOHN T/WILLIAMS,"['JOHN T.', 'WILLIAMS']"
"WILL BAKER,CHRISTOPHER S KELLY,PETE WOODRUFF",WILL BAKER/CHRISTOPHER S KELLY/PETE WOODRUFF,"['WILL BAKER', 'CHRISTOPHER S KELLY', 'PETE WOODRUFF']"
Alexander Backman/Oscar Järn/Benjamin Turesson/Max Andrén/Fabian Fagerberg,Alexander Backman/Oscar Järn/Benjamin Turesson/Max Andrén/Fabian Fagerberg,"['Alexander Backman', 'Oscar Järn', 'Benjamin Turesson', 'Max Andrén', 'Fabian Fagerberg']"
Jacques Soumet/Tim Spencer/François Llenas,Jacques Soumet/Tim Spencer/François Llenas,"['Jacques Soumet', 'Tim Spencer', 'François Llenas']"
Andersson/Bjorn Ulvaeus/Chucho Ferrer/Pablo Ramírez/Buddy Mary McCluskey,Andersson/Bjorn Ulvaeus/Chucho Ferrer/Pablo Ramírez/Buddy Mary McCluskey,"['Andersson', 'Bjorn Ulvaeus', 'Chucho Ferrer', 'Pablo Ramírez', 'Buddy Mary McCluskey']"
Ángel Aníbal,Ángel Aníbal,['Ángel Aníbal']
"Exøtix,PSYKIDD,J4M",Exøtix/PSYKIDD/J4M,"['Exøtix', 'PSYKIDD', 'J4M']"
Mike Oldfield,Mike Oldfield,['Mike Oldfield']
Warlen Lopes de Oliveira,Warlen Lopes de Oliveira,['Warlen Lopes de Oliveira']
Benjamin James Azzi/Benjamin Jon Ringel/David Michael Supica/Gregory Michael Hommert/Jonathan Darrell Shaw,Benjamin James Azzi/Benjamin Jon Ringel/David Michael Supica/Gregory Michael Hommert/Jonathan Darrell Shaw,"['Benjamin James Azzi', 'Benjamin Jon Ringel', 'David Michael Supica', 'Gregory Michael Hommert', 'Jonathan Darrell Shaw']"
"Victor Imbres,Rob Davis",Victor Imbres/Rob Davis,"['Victor Imbres', 'Rob Davis']"
Jan Kazda/Christofer Johnsson/Thomas Karlsson/Therion,Jan Kazda/Christofer Johnsson/Thomas Karlsson/Therion,"['Jan Kazda', 'Christofer Johnsson', 'Thomas Karlsson', 'Therion']"
Efrem Jamaar Blackwell,Efrem Jamaar Blackwell,['Efrem Jamaar Blackwell']
Byron Stingily/Marshall Jefferson/Eric Welton,Byron Stingily/Marshall Jefferson/Eric Welton,"['Byron Stingily', 'Marshall Jefferson', 'Eric Welton']"
KANONYAMAMOTO (PKA CANON),KANONYAMAMOTO/PKA CANON,"['KANONYAMAMOTO', 'PKA CANON']"
Christian Michelle Felix Felix,Christian Michelle Felix Felix,['Christian Michelle Felix Felix']
Rohan Mello/César Cunha/Índio Poeta/Ramon no Beat/Copyright Control,Rohan Mello/César Cunha/Índio Poeta,"['Rohan Mello', 'César Cunha', 'Índio Poeta', 'Ramon no Beat', 'Copyright Control']"
Martin Nagorni/Johann Sebastian Bach,Martin Nagorni/Johann Sebastian Bach,"['Martin Nagorni', 'Johann Sebastian Bach']"
2sdxrt3all,2sdxrt3all,['2sdxrt3all']
Takashi Yoshimatsu,Takashi Yoshimatsu,['Takashi Yoshimatsu']
Revan,Revan,['Revan']
Simon Hall/Austin Wintory/Steven Gates/Scott Edgar,Simon Hall/Austin Wintory/Steven Gates/Scott Edgar,"['Simon Hall', 'Austin Wintory', 'Steven Gates', 'Scott Edgar']"
will.i.am/Joshua Lopez/Anthony Preston/Britney Spears,will.i.am/Joshua Lopez/Anthony Preston/Britney Spears,"['will.i.am', 'Joshua Lopez', 'Anthony Preston', 'Britney Spears']"
"SXMPRA, Mvko & Jesse Mattson",SXMPRA/Mvko/Jesse Mattson,"['SXMPRA', 'Mvko', 'Jesse Mattson']"
下村陽子,,['下村陽子']
AR HAAVISTO JANNE PEKKA/AR LANKINEN MIKKO JUHANI/AR NYMAN TOM THEODOR/AR PITSINKI MATTI KAARLO/C LANKINEN MIKKO JUHANI/PA ROCK YHTYE LAIKA & THE COSMON,JANNE/PEKKA/AR/LANKINEN/MIKKO/JUHANI/AR/NYMAN/TOM/THEODOR/AR/PITSINKI/MATTI/KAARLO/C/LANKINEN/MIKKO/JUHANI/PA/ROCK/YHTYE/LAIKA/&/THE/COSMON,"['AR HAAVISTO JANNE PEKKA', 'AR LANKINEN MIKKO JUHANI', 'AR NYMAN TOM THEODOR', 'AR PITSINKI MATTI KAARLO', 'C LANKINEN MIKKO JUHANI', 'PA ROCK YHTYE LAIKA', 'THE COSMON']"
Bilma Anabel Marquez,Bilma Anabel Marquez,['Bilma Anabel Marquez']
Alain Guerry/Lido Melodies/Jacob Desvarieux,Alain Guerry/Jacob Desvarieux,"['Alain Guerry', 'Lido Melodies', 'Jacob Desvarieux']"
Arkar Moon,Arkar Moon,['Arkar Moon']
Ngọc Chánh/Phạm Duy,,"['Ngọc Chánh', 'Phạm Duy']"
Rufus Moore/Cory Peterson,Rufus Moore/Cory Peterson,"['Rufus Moore', 'Cory Peterson']"
"<Unknown>/Williams, Otis",,"['<Unknown>', 'Williams', 'Otis']"
Tuomas Saukkonen,Tuomas Saukkonen,['Tuomas Saukkonen']
"<Unknown>/Brown, Deandre",Brown/Deandre,"['<Unknown>', 'Brown', 'Deandre']"
Desi Crew,Desi Crew,['Desi Crew']
Trịnh Công Sơn,,['Trịnh Công Sơn']
Marco Frisina,Marco Frisina,['Marco Frisina']
Greg Phillips/Jesse Robinson/Kishaun Bailey,Greg Phillips/Jesse Robinson/Kishaun Bailey,"['Greg Phillips', 'Jesse Robinson', 'Kishaun Bailey']"
La Soni,,['La Soni']
奥井雅美/Monta,Monta,"['奥井雅美', 'Monta']"
"<Unknown>/Belizaire, Pierre marc edouard",,"['<Unknown>', 'Belizaire', 'Pierre marc edouard']"
N8 D0G/Nathaniel Kromer,N8 D0G/Nathaniel Kromer,"['N8 D0G', 'Nathaniel Kromer']"
Jalmaan/PrinceWhateverer,Jalmaan/PrinceWhateverer,"['Jalmaan', 'PrinceWhateverer']"
Alejandro Hernandez/Carlos Hernández/Juan Carlos Sáinz-Maza,Alejandro Hernandez/Carlos Hernández/Juan Carlos Sáinz-Maza,"['Alejandro Hernandez', 'Carlos Hernández', 'Juan Carlos Sáinz-Maza']"
Jeff Tweedy,Jeff Tweedy,['Jeff Tweedy']
박상혁/개리/길,,"['박상혁', '개리', '길']"
SPEAKER KNOCKERZ,SPEAKER KNOCKERZ,['SPEAKER KNOCKERZ']
Lee Oskar Levitin,Lee Oskar Levitin,['Lee Oskar Levitin']
Manfred Eicher/Valentin Silvestrov,Manfred Eicher/Valentin Silvestrov,"['Manfred Eicher', 'Valentin Silvestrov']"
Nite Jewel,,['Nite Jewel']
Ársæll G. Ármannsson,Ársæll G. Ármannsson,['Ársæll G. Ármannsson']
Pop Kill,Pop Kill,['Pop Kill']
Ali Abdolmaleki,Ali Abdolmaleki,['Ali Abdolmaleki']
Tiny Bradshaw/Jeff Beck/Lois Mann/Howie Kay,Tiny Bradshaw/Jeff Beck/Lois Mann/Howie Kay,"['Tiny Bradshaw', 'Jeff Beck', 'Lois Mann', 'Howie Kay']"
Watani Ahang,Watani Ahang,['Watani Ahang']
植松伸夫,,['植松伸夫']
Georg Philipp Telemann,Georg Philipp Telemann,['Georg Philipp Telemann']
Mbosso,Mbosso,['Mbosso']
Mike Robertson/Dave DePriest/Bob Wood,Mike Robertson/Dave DePriest/Bob Wood,"['Mike Robertson', 'Dave DePriest', 'Bob Wood']"
Ghanu Arora & Kulbir Danoda,Ghanu Arora/Kulbir Danoda,"['Ghanu Arora', 'Kulbir Danoda']"
M. Tottis,M. Tottis,['M. Tottis']
Hake Jill,Hake Jill,['Hake Jill']
Mammad Ibrahimov,Mammad Ibrahimov,['Mammad Ibrahimov']
Mark Howard James,Mark Howard James,['Mark Howard James']
David Mark Hall/James Michael Hall-Brown,,"['David Mark Hall', 'James Michael Hall-Brown']"
GARABATTO/Raul Gomez/María Peláe,GARABATTO/Raul Gomez/María Peláe,"['GARABATTO', 'Raul Gomez', 'María Peláe']"
Gourov Roshin & Anand Raj Anand,Gourov Roshin/Anand Raj Anand,"['Gourov Roshin', 'Anand Raj Anand']"
Alejandro Sanz,Alejandro Sanz,['Alejandro Sanz']
Jill Bates/Stiff Weapon,Jill Bates/Stiff Weapon,"['Jill Bates', 'Stiff Weapon']"
Daniel Lee Williams jr,Daniel Lee Williams jr,['Daniel Lee Williams jr']
Louis Côté/Cyril Kamar/Louis Coté,Louis Côté/Cyril Kamar,"['Louis Côté', 'Cyril Kamar', 'Louis Coté']"
Ghostemane,Ghostemane,['Ghostemane']
자화상/이소라,,"['자화상', '이소라']"
Bhupendra Sahu,Bhupendra Sahu,['Bhupendra Sahu']
Ray Ellerbee,Ray Ellerbee,['Ray Ellerbee']
"<Unknown>/Morgan, Doug",Morgan/ Doug,"['<Unknown>', 'Morgan', 'Doug']"
Georges Brassens/Julio Ardiles Gray,Georges Brassens/Julio Ardiles Gray,"['Georges Brassens', 'Julio Ardiles Gray']"
ICONIX,,['ICONIX']
KARNATSOS TAKIS PANAGIOTIS(IOANNI)/SAINT CHARLES SAENS CAMILL(+),SAINT/SAENS/CAMILL,"['KARNATSOS TAKIS PANAGIOTIS', 'IOANNI', 'SAINT CHARLES SAENS CAMILL', '+']"
Priteo/GND,,"['Priteo', 'GND']"
Amala Zandile Dlamini/Jahlil Gunter/Ben Nartey,Amala Zandile Dlamini/Jahlil Gunter/Ben Nartey,"['Amala Zandile Dlamini', 'Jahlil Gunter', 'Ben Nartey']"
Popular,Popular,['Popular']
Joshua Hamilton & Lil Darkie,Joshua Hamilton/Lil Darkie,"['Joshua Hamilton', 'Lil Darkie']"
Various Artists/Tronic Ltd. Publishing/Copyright Control/Dimpy Singh/John Selway/Kyoko Singh/Harry Romero/Mark Ullrich/Minds On Fire/Marcus Schmahl/Rodolfo Abrao Wehbba/Victor Ruiz Huidobro/Christian Smith - Solbakken,Christian Smith,"['Various Artists', 'Tronic Ltd. Publishing', 'Copyright Control', 'Dimpy Singh', 'John Selway', 'Kyoko Singh', 'Harry Romero', 'Mark Ullrich', 'Minds On Fire', 'Marcus Schmahl', 'Rodolfo Abrao Wehbba', 'Victor Ruiz Huidobro', 'Christian Smith - Solbakken']"
Troy McDonald/Devon Charles Thagard,Troy McDonald/Devon Charles Thagard,"['Troy McDonald', 'Devon Charles Thagard']"
John Kander/Fred Ebb,John Kander/Fred Ebb,"['John Kander', 'Fred Ebb']"
"<Unknown>/Goad, Larry",Goad/Larry,"['<Unknown>', 'Goad', 'Larry']"
Sion Thomas,Sion Thomas,['Sion Thomas']
Warner Chappell/Inzima Publishing 2003 Ltd,,"['Warner Chappell', 'Inzima Publishing 2003 Ltd']"
Minh Kỳ/Hoài Linh,,"['Minh Kỳ', 'Hoài Linh']"
DALE PAYNE/LETITIA CAYE MEEKS/YUNG DREW,DALE PAYNE/LETITIA CAYE MEEKS/YUNG DREW,"['DALE PAYNE', 'LETITIA CAYE MEEKS', 'YUNG DREW']"
Benjamin OrtÍz HernÁndez,Benjamin OrtÍz HernÁndez,['Benjamin OrtÍz HernÁndez']
Sabit Kebic,Sabit Kebic,['Sabit Kebic']
Tommy Boyce/Bobby Hart,Tommy Boyce/Bobby Hart,"['Tommy Boyce', 'Bobby Hart']"
Christopher Pope/Wolfgang Amadeus Mozart,Christopher Pope/Wolfgang Amadeus Mozart,"['Christopher Pope', 'Wolfgang Amadeus Mozart']"
J.Craig & J.Malcolm,J.Craig/J.Malcolm,"['J.Craig', 'J.Malcolm']"
Mikel Erentxun/Jesús María Corman,Mikel Erentxun/Jesús María Corman,"['Mikel Erentxun', 'Jesús María Corman']"
Johnny Ainschough/Alexandre Allix/Samuel Alalade,Johnny Ainschough/Alexandre Allix/Samuel Alalade,"['Johnny Ainschough', 'Alexandre Allix', 'Samuel Alalade']"
Alejandro Díez Garín,,['Alejandro Díez Garín']
Erik Lindström,Erik Lindström,['Erik Lindström']
